policy_id,product,region,age,exposure,premium
1190,Premium,DXB,38,1,136.62
1191,Basic,DXB,34,1,114.4
1192,Basic,AUH,39,1,114.45
1193,Premium,DXB,44,1,154.21
1194,Premium,AUH,61,1,168.1825
1195,Premium,DXB,52,1,164.33
1196,Basic,DXB,49,1,130.9
1197,Basic,AUH,44,1,119.7
1198,Premium,DXB,51,1,153.065
1199,Premium,AUH,48,1,152.485
1200,Premium,DXB,47,1,158.005
1201,Basic,DXB,21,1,110
1202,Basic,AUH,37,1,122.35
1203,Premium,DXB,47,1,158.005
1204,Premium,AUH,48,1,142.485
1205,Premium,DXB,20,1,126.5
1206,Basic,DXB,36,1,116.6
1207,Basic,AUH,26,1,115
1208,Premium,DXB,58,1,161.92
1209,Premium,AUH,52,1,147.315
1210,Premium,DXB,41,1,140.415
1211,Basic,DXB,42,1,133.2
1212,Basic,AUH,57,1,143.35
1213,Premium,DXB,34,1,131.56
1214,Premium,AUH,54,1,159.73
1215,Premium,DXB,27,1,126.5
1216,Basic,DXB,51,1,143.1
1217,Basic,AUH,19,1,105
1218,Premium,DXB,24,1,136.5
1219,Premium,AUH,21,1,130.75
1220,Premium,DXB,52,1,154.33
1221,Basic,DXB,53,1,135.3
1222,Basic,AUH,48,1,123.9
1223,Premium,DXB,44,1,154.21
1224,Premium,AUH,27,1,120.75
1225,Premium,DXB,56,1,169.39
1226,Basic,DXB,56,1,138.6
1227,Basic,AUH,22,1,115
1228,Premium,DXB,61,1,165.715
1229,Premium,AUH,34,1,125.58
1230,Premium,DXB,50,1,151.8
1231,Basic,DXB,47,1,128.7
1232,Basic,AUH,57,1,143.35
1233,Premium,DXB,38,1,136.62
1234,Premium,AUH,39,1,141.6175
1235,Premium,DXB,26,1,136.5
1236,Basic,DXB,22,1,120
1237,Basic,AUH,26,1,105
1238,Premium,DXB,32,1,129.03
1239,Premium,AUH,31,1,121.9575
1240,Premium,DXB,33,1,140.295
1241,Basic,DXB,20,1,120
1242,Basic,AUH,32,1,107.1
1243,Premium,DXB,34,1,131.56
1244,Premium,AUH,59,1,155.7675
1245,Premium,DXB,19,1,136.5
1246,Basic,DXB,20,1,110
1247,Basic,AUH,43,1,128.65
1248,Premium,DXB,20,1,136.5
1249,Premium,AUH,29,1,130.75
